Title,Genre,Rating,Voting,Duration
1. Friendship,Comedy,7.6, (2.7K),1h 40m
2. Anora,Comedy,7.5, (195K),2h 19m
3. Beetlejuice Beetlejuice,Comedy,6.6, (151K),1h 45m
4. Fight or Flight,Comedy,6.4, (12K),1h 42m
5. Deadpool & Wolverine,Comedy,7.5, (500K),2h 8m
6. Paddington in Peru,Comedy,6.7, (24K),1h 46m
7. A Real Pain,Comedy,7.1, (100K),1h 30m
8. The Ministry of Ungentlemanly Warfare,Comedy,6.8, (137K),2h 2m
9. Freaky Tales,Comedy,6.3, (5.9K),1h 47m
10. Moana 2,Comedy,6.6, (106K),1h 40m
11. Sonic the Hedgehog 3,Comedy,6.9, (62K),1h 50m
12. The Uninvited,Comedy,5.4, (461),1h 37m
13. The Friend,Comedy,6.4, (2.4K),1h 59m
14. The Fall Guy,Comedy,6.8, (224K),2h 6m
15. A Nice Indian Boy,Comedy,7.5, (1.4K),1h 36m
16. Challengers,Comedy,7.0, (157K),2h 11m
17. Saturday Night,Comedy,6.9, (32K),1h 49m
18. The Idea of You,Comedy,6.3, (74K),1h 55m
19. Inside Out 2,Comedy,7.5, (219K),1h 36m
20. Y2K,Comedy,4.8, (15K),1h 31m
21. Borderlands,Comedy,4.7, (49K),1h 41m
22. Kinds of Kindness,Comedy,6.5, (60K),2h 44m
23. Superboys of Malegaon,Comedy,7.7, (4.9K),2h 7m
24. Despicable Me 4,Comedy,6.2, (67K),1h 34m
25. A Different Man,Comedy,6.9, (30K),1h 52m
26. Riff Raff,Comedy,5.7, (3.5K),1h 43m
27. My Old Ass,Comedy,6.9, (40K),1h 29m
28. Miller's Girl,Comedy,5.2, (24K),1h 33m
29. Argylle,Comedy,5.6, (93K),2h 19m
30. Bad Boys: Ride or Die,Comedy,6.5, (101K),1h 55m
31. IF,Comedy,6.4, (59K),1h 44m
32. Drive-Away Dolls,Comedy,5.4, (24K),1h 24m
33. Kung Fu Panda 4,Comedy,6.3, (69K),1h 34m
34. It's What's Inside,Comedy,6.6, (43K),1h 43m
35. Sister Midnight,Comedy,6.5, (461),1h 47m
36. Fly Me to the Moon,Comedy,6.6, (51K),2h 12m
37. Red One,Comedy,6.3, (141K),2h 3m
38. Bob Trevino Likes It,Comedy,7.5, (1.8K),1h 41m
39. Snack Shack,Comedy,7.0, (13K),1h 52m
40. Ghostbusters: Frozen Empire,Comedy,6.1, (94K),1h 55m
41. Nightbitch,Comedy,5.5, (20K),1h 39m
42. The Killer's Game,Comedy,5.8, (18K),1h 44m
43. The Instigators,Comedy,6.2, (38K),1h 41m
44. Mean Girls,Comedy,5.5, (37K),1h 52m
45. Kneecap,Comedy,7.6, (19K),1h 45m
46. Jane Austen Wrecked My Life,Comedy,6.2, (295),1h 38m
47. The Day the Earth Blew Up: A Looney Tunes Movie,Comedy,7.0, (4.9K),1h 31m
48. Get Away,Comedy,5.3, (7.2K),1h 26m
49. Thelma,Comedy,7.0, (23K),1h 38m
50. Sacramento,Comedy,5.9, (1.4K),1h 29m
51. How to Make Millions Before Grandma Dies,Comedy,8.0, (16K),2h 5m
52. The Union,Comedy,5.4, (54K),1h 47m
53. Rumours,Comedy,5.0, (4.9K),1h 44m
54. Greedy People,Comedy,6.2, (12K),1h 52m
55. Ricky Stanicky,Comedy,6.2, (57K),1h 53m
56. My Future You,Comedy,7.4, (193),1h 49m
57. Adult Best Friends,Comedy,5.4, (414),1h 30m
58. The Wonderful Story of Henry Sugar and Three More,Comedy,7.1, (7.3K),1h 28m
59. Incoming,Comedy,5.8, (14K),1h 31m
60. A Family Affair,Comedy,5.4, (37K),1h 51m
61. Hard Truths,Comedy,7.2, (5.9K),1h 37m
62. Tim Travers & the Time Travelers Paradox,Comedy,6.8, (294),1h 35m
63. Beverly Hills Cop: Axel F,Comedy,6.4, (82K),1h 58m
64. Upgraded,Comedy,6.1, (30K),1h 44m
65. Holy Cow,Comedy,7.1, (2.1K),1h 32m
66. Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write About a Serial Killer,Comedy,6.2, (1.3K),1h 42m
67. Lift,Comedy,5.5, (50K),1h 47m
68. The Garfield Movie,Comedy,5.7, (24K),1h 41m
69. The Marching Band,Comedy,7.4, (3.4K),1h 43m
70. Harold and the Purple Crayon,Comedy,5.7, (8.6K),1h 30m
71. Unfrosted,Comedy,5.5, (35K),1h 37m
72. Dìdi,Comedy,7.3, (13K),1h 33m
73. Wallace & Gromit: Vengeance Most Fowl,Comedy,7.5, (35K),1h 22m
74. Old Guy,Comedy,5.2, (2.7K),1h 34m
75. Jackpot!,Comedy,5.8, (31K),1h 46m
76. My Dead Friend Zoe,Comedy,6.6, (2.5K),1h 43m
77. Skincare,Comedy,5.7, (4.6K),1h 36m
78. I Don't Understand You,Comedy,7.0, (91),1h 36m
79. Spermageddon,Comedy,5.7, (925),1h 20m
80. Lisa Frankenstein,Comedy,6.1, (28K),1h 41m
81. Spellbound,Comedy,5.5, (7.7K),1h 49m
82. F*** Marry Kill,Comedy,5.3, (2.7K),1h 37m
83. Distant,Comedy,5.7, (3.4K),1h 27m
84. How to Make a Killing,Comedy,6.5, (1.2K),1h 49m
85. Mother of the Bride,Comedy,4.8, (17K),1h 28m
86. Brothers,Comedy,5.4, (13K),1h 29m
87. Ghostlight,Comedy,7.6, (6.2K),1h 55m
88. Boot Camp,Comedy,5.8, (1.2K),1h 34m
89. Bad Shabbos,Comedy,7.5, (208),1h 24m
90. Lake George,Comedy,6.5, (1.4K),1h 58m
91. Goodrich,Comedy,6.3, (5.6K),1h 50m
92. Your Monster,Comedy,6.4, (6K),1h 43m
93. Crayon Shin-chan: Ora's Dinosaur Diary,Comedy,6.6, (532),1h 46m
94. Bookworm,Comedy,6.0, (2K),1h 43m
95. Eephus,Comedy,6.9, (887),1h 39m
96. Misericordia,Comedy,6.8, (2.3K),1h 44m
97. When Fall Is Coming,Comedy,6.8, (2.1K),1h 44m
98. Desert Fiends,Comedy,5.2, (803),1h 46m
