Title,Genre,Rating,Voting,Duration
1. Conclave,Drama,7.4, (190K),2h
2. Gladiator II,Drama,6.5, (241K),2h 28m
3. The Brutalist,Drama,7.4, (86K),3h 36m
4. Babygirl,Drama,5.9, (60K),1h 54m
5. Anora,Drama,7.5, (195K),2h 19m
6. A Complete Unknown,Drama,7.4, (85K),2h 21m
7. The Substance,Drama,7.2, (309K),2h 21m
8. The Assessment,Drama,6.7, (8.3K),1h 54m
9. Speak No Evil,Drama,6.8, (105K),1h 50m
10. The Order,Drama,6.8, (47K),1h 56m
11. Dune: Part Two,Drama,8.5, (633K),2h 46m
12. Queen of the Ring,Drama,6.4, (1.7K),2h 20m
13. Mufasa: The Lion King,Drama,6.6, (68K),1h 58m
14. A Real Pain,Drama,7.1, (100K),1h 30m
15. I'm Still Here,Drama,8.2, (109K),2h 17m
16. Small Things Like These,Drama,6.8, (25K),1h 38m
17. Freaky Tales,Drama,6.3, (5.9K),1h 47m
18. The Life of Chuck,Drama,7.5, (707),1h 50m
19. We Live in Time,Drama,7.0, (54K),1h 48m
20. Juror #2,Drama,7.0, (101K),1h 54m
21. The Damned,Drama,5.7, (4.9K),1h 29m
22. The Uninvited,Drama,5.4, (461),1h 37m
23. The Apprentice,Drama,7.1, (58K),2h 2m
24. Parthenope,Drama,6.6, (13K),2h 17m
25. It Ends with Us,Drama,6.3, (87K),2h 10m
26. The Count of Monte-Cristo,Drama,7.6, (36K),2h 58m
27. The Friend,Drama,6.4, (2.4K),1h 59m
28. The Penguin Lessons,Drama,7.1, (3.4K),1h 51m
29. Presence,Drama,6.1, (24K),1h 24m
30. Winter Spring Summer or Fall,Drama,6.0, (2.5K),1h 37m
31. The Fall Guy,Drama,6.8, (224K),2h 6m
32. A Nice Indian Boy,Drama,7.5, (1.4K),1h 36m
33. The Return,Drama,6.2, (9.5K),1h 56m
34. Megalopolis,Drama,4.7, (37K),2h 18m
35. Kryptic,Drama,4.1, (474),1h 42m
36. Road House,Drama,6.2, (169K),2h 1m
37. The Salt Path,Drama,7.3, (613),1h 55m
38. Challengers,Drama,7.0, (157K),2h 11m
39. September 5,Drama,7.1, (25K),1h 35m
40. Saturday Night,Drama,6.9, (32K),1h 49m
41. Joker: Folie à Deux,Drama,5.2, (163K),2h 18m
42. The Last Showgirl,Drama,6.5, (12K),1h 28m
43. The Idea of You,Drama,6.3, (74K),1h 55m
44. Inside Out 2,Drama,7.5, (219K),1h 36m
45. Ask Me What You Want,Drama,3.9, (1K),1h 54m
46. Bird,Drama,7.0, (9.1K),1h 59m
47. Homestead,Drama,5.3, (3.9K),1h 52m
48. Queer,Drama,6.4, (23K),2h 17m
49. Kinds of Kindness,Drama,6.5, (60K),2h 44m
50. Rebel Ridge,Drama,6.8, (90K),2h 11m
51. The Room Next Door,Drama,6.8, (22K),1h 47m
52. Superboys of Malegaon,Drama,7.7, (4.9K),2h 7m
53. Lucky Baskhar,Drama,8.0, (33K),2h 28m
54. Here,Drama,6.3, (22K),1h 44m
55. A Different Man,Drama,6.9, (30K),1h 52m
56. Horizon: An American Saga - Chapter 1,Drama,6.6, (41K),3h 1m
57. Love Lies Bleeding,Drama,6.6, (58K),1h 44m
58. Arcadian,Drama,5.5, (24K),1h 32m
59. My Old Ass,Drama,6.9, (40K),1h 29m
60. Caddo Lake,Drama,6.8, (44K),1h 43m
61. Nickel Boys,Drama,7.0, (20K),2h 20m
62. Miller's Girl,Drama,5.2, (24K),1h 33m
63. Emilia Pérez,Drama,5.4, (90K),2h 12m
64. A Quiet Place: Day One,Drama,6.3, (152K),1h 39m
65. Pushpa: The Rule - Part 2,Drama,6.1, (57K),3h 21m
66. Mr. K,Drama,5.6, (825),1h 34m
67. The Shrouds,Drama,6.0, (2.4K),2h
68. IF,Drama,6.4, (59K),1h 44m
69. Kingdom of the Planet of the Apes,Drama,6.9, (153K),2h 25m
70. The Lord of the Rings: The War of the Rohirrim,Drama,6.3, (32K),2h 14m
71. Sister Midnight,Drama,6.5, (461),1h 47m
72. On Swift Horses,Drama,6.3, (1.2K),1h 59m
73. Bob Trevino Likes It,Drama,7.5, (1.8K),1h 41m
74. The Six Triple Eight,Drama,6.7, (27K),2h 7m
75. I Saw the TV Glow,Drama,5.8, (37K),1h 40m
76. Fighter,Drama,6.2, (52K),2h 46m
77. Maria,Drama,6.4, (20K),2h 4m
78. Young Hearts,Drama,8.0, (5.1K),1h 39m
79. The Outrun,Drama,6.9, (16K),1h 58m
80. The Instigators,Drama,6.2, (38K),1h 41m
81. The Seed of the Sacred Fig,Drama,7.6, (14K),2h 47m
