Title,Genre,Rating,Voting,Duration
1. The Substance,Horror,7.2, (309K),2h 21m
2. Nosferatu,Horror,7.2, (203K),2h 12m
3. Beetlejuice Beetlejuice,Horror,6.6, (151K),1h 45m
4. Speak No Evil,Horror,6.8, (105K),1h 50m
5. Heretic,Horror,7.0, (148K),1h 51m
6. Alien: Romulus,Horror,7.1, (249K),1h 59m
7. Trap,Horror,5.8, (142K),1h 45m
8. Longlegs,Horror,6.6, (190K),1h 41m
9. Smile 2,Horror,6.7, (110K),2h 7m
10. The Damned,Horror,5.7, (4.9K),1h 29m
11. Abigail,Horror,6.5, (98K),1h 49m
12. Presence,Horror,6.1, (24K),1h 24m
13. MaXXXine,Horror,6.2, (72K),1h 43m
14. Terrifier 3,Horror,6.3, (50K),2h 5m
15. Kryptic,Horror,4.1, (474),1h 42m
16. Oddity,Horror,6.7, (45K),1h 38m
17. Cuckoo,Horror,5.7, (28K),1h 42m
18. Y2K,Horror,4.8, (15K),1h 31m
19. Kinds of Kindness,Horror,6.5, (60K),2h 44m
20. The Crow,Horror,4.7, (36K),1h 51m
21. Salem's Lot,Horror,5.6, (34K),1h 54m
22. Azrael,Horror,5.4, (12K),1h 26m
23. Arcadian,Horror,5.5, (24K),1h 32m
24. A Quiet Place: Day One,Horror,6.3, (152K),1h 39m
25. The Rule of Jenny Pen,Horror,6.2, (5.2K),1h 44m
26. The Shrouds,Horror,6.0, (2.4K),2h
27. The Haunted Apartment: Miss K,Horror,5.6, (383),1h 43m
28. Nightbitch,Horror,5.5, (20K),1h 39m
29. The Watchers,Horror,5.7, (58K),1h 42m
30. Immaculate,Horror,5.8, (54K),1h 29m
31. The Ruse,Horror,6.5, (200),1h 45m
32. Bagman,Horror,4.7, (5.9K),1h 33m
33. Never Let Go,Horror,5.4, (16K),1h 41m
34. Don't Move,Horror,5.8, (40K),1h 32m
35. Get Away,Horror,5.3, (7.2K),1h 26m
36. Conjuring the Cult,Horror,4.9, (898),1h 33m
37. In a Violent Nature,Horror,5.6, (27K),1h 34m
38. Rumours,Horror,5.0, (4.9K),1h 44m
39. Werewolves,Horror,4.4, (7.3K),1h 33m
40. Dead Mail,Horror,6.0, (1.7K),1h 46m
41. MadS,Horror,6.4, (8.3K),1h 29m
42. The Last Breath,Horror,4.7, (2.3K),1h 36m
43. Hellboy: The Crooked Man,Horror,4.5, (14K),1h 39m
44. Afraid,Horror,5.2, (14K),1h 24m
45. The First Omen,Horror,6.5, (65K),1h 59m
46. Time Cut,Horror,5.0, (19K),1h 31m
47. Die Alone,Horror,5.7, (3.6K),1h 30m
48. Apartment 7A,Horror,5.9, (17K),1h 47m
49. Stream,Horror,6.0, (9.4K),2h 3m
50. Exhuma,Horror,6.9, (24K),2h 14m
51. The Deliverance,Horror,5.1, (23K),1h 52m
52. Frewaka,Horror,6.2, (1.1K),1h 43m
53. Apocalypse Z: The Beginning of the End,Horror,6.1, (20K),1h 57m
