Title,Genre,Rating,Voting,Duration
1. Babygirl,Romance,5.9, (60K),1h 54m
2. Anora,Romance,7.5, (195K),2h 19m
3. Wicked,Romance,7.5, (163K),2h 40m
4. We Live in Time,Romance,7.0, (54K),1h 48m
5. It Ends with Us,Romance,6.3, (87K),2h 10m
6. The Count of Monte-Cristo,Romance,7.6, (36K),2h 58m
7. Winter Spring Summer or Fall,Romance,6.0, (2.5K),1h 37m
8. The Fall Guy,Romance,6.8, (224K),2h 6m
9. A Nice Indian Boy,Romance,7.5, (1.4K),1h 36m
10. Challengers,Romance,7.0, (157K),2h 11m
11. The Idea of You,Romance,6.3, (74K),1h 55m
12. Ask Me What You Want,Romance,3.9, (1K),1h 54m
13. Queer,Romance,6.4, (23K),2h 17m
14. The Crow,Romance,4.7, (36K),1h 51m
15. Love Lies Bleeding,Romance,6.6, (58K),1h 44m
16. My Old Ass,Romance,6.9, (40K),1h 29m
17. Fly Me to the Moon,Romance,6.6, (51K),2h 12m
18. On Swift Horses,Romance,6.3, (1.2K),1h 59m
19. Jane Austen Wrecked My Life,Romance,6.2, (295),1h 38m
20. Romance on the Ranch,Romance,6.8, (367),1h 28m
21. Emmanuelle,Romance,4.1, (1.8K),1h 47m
22. All We Imagine as Light,Romance,7.1, (10K),1h 58m
23. Turtles All the Way Down,Romance,6.6, (7.2K),1h 51m
24. My Future You,Romance,7.4, (193),1h 49m
25. Culpa Tuya,Romance,5.2, (14K),1h 58m
26. Die Alone,Romance,5.7, (3.6K),1h 30m
27. Sidelined: The QB and Me,Romance,5.9, (3.9K),1h 39m
28. La cocina,Romance,7.1, (3.3K),2h 19m
29. A Family Affair,Romance,5.4, (37K),1h 51m
30. Bonjour Tristesse,Romance,6.1, (263),1h 50m
31. Upgraded,Romance,6.1, (30K),1h 44m
32. Beating Hearts,Romance,7.0, (5.5K),2h 46m
33. Lilies Not for Me,Romance,7.1, (501),1h 39m
34. Girl Haunts Boy,Romance,6.3, (3.2K),1h 40m
35. Lick,Romance,6.2, (862),1h 15m
36. The Master and Margarita,Romance,7.2, (4.8K),2h 36m
37. Lonely Planet,Romance,5.7, (12K),1h 34m
38. Lisa Frankenstein,Romance,6.1, (28K),1h 41m
39. Love Me,Romance,5.1, (2.6K),1h 31m
40. F*** Marry Kill,Romance,5.3, (2.7K),1h 37m
41. Young Woman and the Sea,Romance,7.5, (17K),2h 9m
42. Mother of the Bride,Romance,4.8, (17K),1h 28m
43. Killer Heat,Romance,5.6, (14K),1h 35m
44. The Tearsmith,Romance,5.2, (13K),1h 43m
45. Boot Camp,Romance,5.8, (1.2K),1h 34m
46. Girls Will Be Girls,Romance,7.1, (2.6K),1h 58m
47. Your Monster,Romance,6.4, (6K),1h 43m
48. Loveable,Romance,7.7, (2.2K),1h 41m
49. The Greatest Hits,Romance,6.2, (7.5K),1h 34m
50. Someone Like You,Romance,5.8, (2.2K),1h 58m
51. Grafted,Romance,5.6, (2.5K),1h 36m
52. Find Me Falling,Romance,6.3, (13K),1h 33m
53. Dreams (Sex Love),Romance,7.5, (608),1h 50m
54. Maybe Forever,Romance,6.3, (86),1h 11m
55. Darkest Miriam,Romance,5.8, (278),1h 27m
56. Sex,Romance,6.5, (1.3K),1h 58m
57. Touch,Romance,7.4, (5.7K),2h 1m
58. Mon Potongo,Romance,6.7, (421),2h 29m
59. Our Little Secret,Romance,5.7, (24K),1h 41m
60. Teri Baaton Mein Aisa Uljha Jiya,Romance,6.2, (54K),2h 21m
61. Love,Romance,7.3, (462),1h 59m
62. High Tide,Romance,6.7, (617),1h 41m
63. Grand Tour,Romance,6.5, (2K),2h 9m
64. Irish Wish,Romance,5.2, (22K),1h 33m
65. You Are the Apple of My Eye,Romance,7.1, (3.6K),1h 41m
66. Through My Window: Looking at You,Romance,5.4, (5.4K),1h 45m
67. Role Play,Romance,5.5, (19K),1h 40m
68. Private Tutor,Romance,4.9, (206),1h 5m
69. The Merry Gentlemen,Romance,4.8, (10K),1h 27m
70. The Best Christmas Pageant Ever,Romance,6.8, (6.2K),1h 39m
71. Hot Frosty,Romance,5.3, (15K),1h 32m
72. Players,Romance,5.7, (12K),1h 45m
73. Love Across Time,Romance,7.1, (701),1h
74. My Favourite Cake,Romance,7.4, (7.5K),1h 37m
75. Love in the Big City,Romance,7.4, (1.6K),1h 58m
76. This Is Me... Now,Romance,4.1, (7.2K),1h 5m
77. Premalu,Romance,7.8, (20K),2h 36m
78. Before We Forget,Romance,7.6, (133),1h 48m
79. Blue Sun Palace,Romance,6.5, (197),1h 56m
80. Turn Me On,Romance,5.6, (610),1h 39m
81. Hear Me: Our Summer,Romance,7.5, (815),1h 49m
82. Chosen Family,Romance,4.8, (477),1h 28m
83. Mor Chhainha Bhuinya 2,Romance,8.5, (92),2h 40m
84. C4 Cinta,Romance,8.0, (148),2h 47m
85. The Astronaut Lovers,Romance,7.1, (821),1h 56m
86. Pedro Páramo,Romance,6.3, (3K),2h 10m
87. Stag,Romance,5.4, (471),1h 27m
88. Uranus 2324,Romance,6.4, (4.9K),2h 10m
89. Good Bad Things,Romance,5.7, (216),1h 36m
90. The Glassworker,Romance,7.3, (1.8K),1h 38m
91. Vulgar,Romance,5.5, (159),1h 43m
92. Badaa Saat Fi Yawman Ma,Romance,5.8, (188),1h 40m
93. The Southern Chronicles,Romance,8.7, (2.7K),2h
94. Marmalade,Romance,6.3, (3.7K),1h 39m
95. I Can Never Be Yours,Romance,8.7, (161),Mark as watched
96. How to Date Billy Walsh,Romance,5.2, (4K),1h 38m
97. This Time Next Year,Romance,5.6, (2.3K),1h 56m
98. The Family Star,Romance,5.4, (5.6K),2h 39m
99. Black Tea,Romance,5.2, (580),1h 50m
100. The Dead Thing,Romance,4.7, (973),1h 34m
101. 5lbs of Pressure,Romance,5.2, (1.7K),1h 51m
102. Murder Mubarak,Romance,5.8, (51K),2h 20m
103. Beautiful Wedding,Romance,4.1, (4.3K),1h 40m
104. Eks,Romance,4.4, (200),2h 1m
105. The Swedish Torpedo,Romance,6.3, (181),2h
106. Qalb,Romance,6.5, (2.3K),2h 27m
107. Take My Hand,Romance,6.3, (320),1h 42m
108. Ajosepo,Romance,8.7, (64),2h 14m
109. Tendaberry,Romance,6.4, (211),1h 55m
110. A True Gentleman,Romance,4.5, (2.2K),1h 50m
111. Wanted: Girlfriend,Romance,4.1, (231),49m
112. Love Switch,Romance,6.1, (257),1h 29m
