Title,Genre,Rating,Voting,Duration
1. Conclave,Thriller,7.4, (190K),2h
2. Babygirl,Thriller,5.9, (60K),1h 54m
3. Speak No Evil,Thriller,6.8, (105K),1h 50m
4. Heretic,Thriller,7.0, (148K),1h 51m
5. Kraven the Hunter,Thriller,5.5, (60K),2h 7m
6. The Surfer,Thriller,6.5, (3.4K),1h 40m
7. Twisters,Thriller,6.5, (173K),2h 2m
8. The Order,Thriller,6.8, (47K),1h 56m
9. The Luckiest Man in America,Thriller,6.2, (2.5K),1h 31m
10. Alien: Romulus,Thriller,7.1, (249K),1h 59m
11. Trap,Thriller,5.8, (142K),1h 45m
12. Longlegs,Thriller,6.6, (190K),1h 41m
13. Smile 2,Thriller,6.7, (110K),2h 7m
14. Venom: The Last Dance,Thriller,6.0, (123K),1h 50m
15. The Beekeeper,Thriller,6.3, (159K),1h 45m
16. Blink Twice,Thriller,6.5, (108K),1h 42m
17. Civil War,Thriller,7.0, (240K),1h 49m
18. Juror #2,Thriller,7.0, (101K),1h 54m
19. Sharp Corner,Thriller,5.9, (1.1K),1h 50m
20. Eden,Thriller,6.6, (1.5K),2h
21. Abigail,Thriller,6.5, (98K),1h 49m
22. The Count of Monte-Cristo,Thriller,7.6, (36K),2h 58m
23. Presence,Thriller,6.1, (24K),1h 24m
24. Carry-On,Thriller,6.5, (169K),1h 59m
25. Wolfs,Thriller,6.5, (85K),1h 48m
26. Kryptic,Thriller,4.1, (474),1h 42m
27. Subservience,Thriller,5.4, (28K),1h 46m
28. Road House,Thriller,6.2, (169K),2h 1m
29. Madame Web,Thriller,4.0, (102K),1h 56m
30. Oddity,Thriller,6.7, (45K),1h 38m
31. September 5,Thriller,7.1, (25K),1h 35m
32. Joker: Folie à Deux,Thriller,5.2, (163K),2h 18m
33. Cuckoo,Thriller,5.7, (28K),1h 42m
34. Borderlands,Thriller,4.7, (49K),1h 41m
35. Ask Me What You Want,Thriller,3.9, (1K),1h 54m
36. Homestead,Thriller,5.3, (3.9K),1h 52m
37. Elevation,Thriller,5.6, (23K),1h 31m
38. Rebel Ridge,Thriller,6.8, (90K),2h 11m
39. The Crow,Thriller,4.7, (36K),1h 51m
40. Godzilla x Kong: The New Empire,Thriller,6.0, (123K),1h 55m
41. Lucky Baskhar,Thriller,8.0, (33K),2h 28m
42. Salem's Lot,Thriller,5.6, (34K),1h 54m
43. A Different Man,Thriller,6.9, (30K),1h 52m
44. Love Lies Bleeding,Thriller,6.6, (58K),1h 44m
45. Arcadian,Thriller,5.5, (24K),1h 32m
46. Caddo Lake,Thriller,6.8, (44K),1h 43m
47. Miller's Girl,Thriller,5.2, (24K),1h 33m
48. Emilia Pérez,Thriller,5.4, (90K),2h 12m
49. A Quiet Place: Day One,Thriller,6.3, (152K),1h 39m
50. The Rule of Jenny Pen,Thriller,6.2, (5.2K),1h 44m
51. Pushpa: The Rule - Part 2,Thriller,6.1, (57K),3h 21m
52. Argylle,Thriller,5.6, (93K),2h 19m
53. Bad Boys: Ride or Die,Thriller,6.5, (101K),1h 55m
54. The Shrouds,Thriller,6.0, (2.4K),2h
55. Kingdom of the Planet of the Apes,Thriller,6.9, (153K),2h 25m
56. Drive-Away Dolls,Thriller,5.4, (24K),1h 24m
57. Unit 234,Thriller,5.3, (606),1h 26m
58. It's What's Inside,Thriller,6.6, (43K),1h 43m
59. The Haunted Apartment: Miss K,Thriller,5.6, (383),1h 43m
60. The Watchers,Thriller,5.7, (58K),1h 42m
61. The Killer's Game,Thriller,5.8, (18K),1h 44m
62. The Instigators,Thriller,6.2, (38K),1h 41m
63. Monkey Man,Thriller,6.8, (93K),2h 1m
64. The Seed of the Sacred Fig,Thriller,7.6, (14K),2h 47m
65. Immaculate,Thriller,5.8, (54K),1h 29m
66. Dirty Angels,Thriller,4.4, (3.6K),1h 44m
67. The Ruse,Thriller,6.5, (200),1h 45m
68. Never Let Go,Thriller,5.4, (16K),1h 41m
69. Don't Move,Thriller,5.8, (40K),1h 32m
